neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;reviews_per_month;calculated_host_listings_count;availability_365
Lisboa;So Vicente;Entire home/apt;130;5;27;0.42;2;0
Sintra;Agualva e Mira-Sintra;Entire home/apt;40;2;48;0.91;1;339
Lisboa;Santa Maria Maior;Entire home/apt;120;2;73;1.09;4;303
Torres Vedras;So Pedro da Cadeira;Entire home/apt;79;2;8;0.28;1;350
Lisboa;Misericrdia;Entire home/apt;65;2;192;2.87;1;151
Sintra;So Joo das Lampas e Terrugem;Entire home/apt;150;5;19;0.28;1;327
Lisboa;Arroios;Entire home/apt;58;3;260;3.84;4;346
Lisboa;Misericrdia;Entire home/apt;65;2;409;6.10;1;0
Mafra;Ericeira;Entire home/apt;50;14;1;0.02;1;362
Lisboa;Arroios;Private room;48;1;7;0.13;13;357
Lisboa;Santa Maria Maior;Entire home/apt;100;3;235;3.56;17;316
Lisboa;Avenidas Novas;Entire home/apt;900;1;0;;1;0
Lisboa;Belm;Entire home/apt;175;1;1;0.02;3;0
Amadora;Falagueira-Venda Nova;Private room;120;1;0;;1;0
Oeiras;Algs, Linda-a-Velha e Cruz Quebrada-Dafundo;Entire home/apt;400;2;0;;1;0
Lisboa;Lumiar;Private room;150;2;0;;1;0
Cascais;Alcabideche;Entire home/apt;110;1;0;;7;365
Lisboa;Areeiro;Private room;290;1;0;;3;0
Amadora;Alfragide;Private room;200;1;0;;1;0
Cascais;Cascais e Estoril;Private room;150;1;0;;1;0
Lisboa;Campo de Ourique;Entire home/apt;70;2;29;0.45;1;365
Mafra;Ericeira;Private room;24;2;5;0.08;7;363
Lisboa;So Vicente;Entire home/apt;40;2;91;1.39;1;87
Lourinh;Lourinh e Atalaia;Entire home/apt;140;5;3;0.06;4;351
Lisboa;Santa Maria Maior;Entire home/apt;45;2;26;2.82;1;294
Lisboa;Estrela;Entire home/apt;150;3;35;0.54;1;70
Lisboa;Campo de Ourique;Entire home/apt;1000;2;0;;1;365
Cascais;Cascais e Estoril;Hotel room;30;1;251;3.76;4;62
Lisboa;Avenidas Novas;Private room;500;1;0;;1;0
Lisboa;Santo Antnio;Private room;80;1;0;;2;0
Lisboa;So Vicente;Entire home/apt;52;2;215;3.21;6;251
Lourinh;Lourinh e Atalaia;Entire home/apt;68;4;4;0.14;1;0
Lisboa;Lumiar;Private room;1300;1;0;;1;0
Amadora;guas Livres;Entire home/apt;900;1;0;;1;0
Mafra;Ericeira;Private room;34;2;11;0.17;7;363
Lisboa;Misericrdia;Entire home/apt;100;3;237;3.55;22;319
Lisboa;Santo Antnio;Private room;100;1;0;;2;0
Lisboa;So Vicente;Entire home/apt;65;2;237;3.53;1;276
Lisboa;Santo Antnio;Entire home/apt;600;1;0;;1;0
Lisboa;So Domingos de Benfica;Private room;200;1;0;;1;0
