neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;reviews_per_month;calculated_host_listings_count;availability_365
Lisboa;Santa Maria Maior;Entire home/apt;94;2;64;3.34;1;296
Lisboa;Santa Maria Maior;Entire home/apt;100;3;40;1.97;5;27
Lisboa;Santa Maria Maior;Entire home/apt;60;2;6;0.27;14;0
Lisboa;Arroios;Entire home/apt;55;1;115;5.24;10;303
Lisboa;Santo Antnio;Entire home/apt;150;2;37;1.71;5;0
Lisboa;Santa Maria Maior;Entire home/apt;65;2;22;1.30;6;343
Lisboa;Misericrdia;Entire home/apt;52;2;26;1.29;315;290
Lisboa;Santa Maria Maior;Entire home/apt;65;2;33;2.20;6;0
Lisboa;Campolide;Entire home/apt;80;1;93;4.39;3;279
Lisboa;Santa Maria Maior;Entire home/apt;45;2;105;4.71;3;141
Lisboa;Beato;Entire home/apt;70;3;26;1.19;73;333
Lisboa;Santo Antnio;Entire home/apt;105;2;25;1.23;67;284
Lisboa;Santa Maria Maior;Entire home/apt;35;2;30;1.36;7;341
Loures;Loures;Entire home/apt;50;7;1;0.06;6;362
Lisboa;Carnide;Entire home/apt;55;2;67;3.09;1;172
Sintra;Casal de Cambra;Private room;30;3;23;1.05;8;185
Sintra;Casal de Cambra;Private room;70;3;4;0.22;8;178
Lisboa;Estrela;Entire home/apt;100;2;37;1.75;1;333
Lisboa;Santa Maria Maior;Entire home/apt;200;3;21;0.99;1;0
Lisboa;Santa Maria Maior;Entire home/apt;40;1;100;5.47;5;56
Lisboa;Estrela;Private room;20;2;104;5.49;2;348
Lisboa;Estrela;Private room;60;1;0;;10;270
Lisboa;Estrela;Private room;60;1;1;0.08;10;259
Lisboa;Misericrdia;Entire home/apt;80;2;64;3.16;3;351
Oeiras;Porto Salvo;Entire home/apt;60;3;24;1.18;1;205
Loures;Santa Iria de Azoia, So Joo da Talha e Bobadela;Private room;20;1;10;0.46;3;365
Mafra;Carvoeira;Entire home/apt;85;2;10;0.69;1;348
Alenquer;Olhalvo;Entire home/apt;49;2;10;0.54;2;179
Lisboa;Misericrdia;Entire home/apt;60;3;5;0.23;5;30
Lisboa;Arroios;Entire home/apt;380;1;25;1.21;11;0
Lisboa;Misericrdia;Entire home/apt;65;3;29;1.33;10;237
Lisboa;Santo Antnio;Entire home/apt;65;3;49;2.23;2;294
Lisboa;So Vicente;Entire home/apt;43;2;80;3.69;6;298
Mafra;Ericeira;Entire home/apt;350;4;2;0.12;8;362
Cascais;Alcabideche;Entire home/apt;180;2;9;0.41;26;0
Lisboa;Misericrdia;Entire home/apt;50;2;43;2.10;10;349
Lisboa;Santa Maria Maior;Entire home/apt;150;2;46;2.16;8;315
Lisboa;Belm;Entire home/apt;65;4;41;2.18;2;325
Lisboa;Arroios;Entire home/apt;94;1;7;0.36;6;335
Lisboa;Estrela;Entire home/apt;60;1;83;3.78;6;332
Lisboa;Estrela;Entire home/apt;65;2;89;4.10;1;340
Lisboa;Alvalade;Private room;19;3;3;0.87;3;134
Lisboa;Misericrdia;Private room;39;1;43;1.98;2;61
Lisboa;Estrela;Private room;50;1;1;0.05;10;254
Lisboa;Estrela;Private room;50;1;3;0.23;10;244
Lisboa;Santa Maria Maior;Entire home/apt;43;2;86;3.91;6;312
Oeiras;Carnaxide e Queijas;Entire home/apt;120;4;0;;1;331
Lisboa;Misericrdia;Entire home/apt;83;2;92;4.25;1;0
Lisboa;Arroios;Private room;70;2;1;0.06;19;85
Lisboa;Santa Maria Maior;Entire home/apt;45;2;86;3.90;6;319
Lisboa;Arroios;Private room;60;2;1;0.05;19;179
Lisboa;Arroios;Private room;65;2;1;0.06;19;134
Lisboa;Arroios;Private room;175;3;1;0.05;19;179
Lisboa;Campo de Ourique;Entire home/apt;130;5;1;0.12;4;126
Lisboa;Arroios;Private room;70;2;1;0.06;19;0
Lisboa;Santa Maria Maior;Entire home/apt;60;2;50;2.65;15;298
Lisboa;Misericrdia;Entire home/apt;120;3;26;1.20;22;357
Lisboa;Estrela;Private room;40;1;2;0.09;10;256
Lisboa;Misericrdia;Entire home/apt;41;2;136;6.49;1;255
Lisboa;Santa Maria Maior;Entire home/apt;39;2;82;3.79;6;337
Lisboa;Avenidas Novas;Entire home/apt;139;2;103;4.70;35;162
Lisboa;Santa Maria Maior;Entire home/apt;101;2;19;0.94;1;350
Lisboa;Campo de Ourique;Entire home/apt;91;2;63;2.85;3;357
Lisboa;Misericrdia;Entire home/apt;55;3;67;3.28;3;264
Lisboa;Campo de Ourique;Entire home/apt;151;2;51;2.38;3;38
Lisboa;Parque das Naes;Entire home/apt;43;5;64;2.98;3;102
Lisboa;Santa Maria Maior;Entire home/apt;68;3;88;4.28;9;29
Lisboa;Ajuda;Entire home/apt;65;2;44;2.07;1;297
Lourinh;Lourinh e Atalaia;Entire home/apt;45;2;4;0.21;1;2
Lisboa;Areeiro;Private room;50;2;16;0.90;29;317
Lisboa;Misericrdia;Entire home/apt;60;3;81;3.83;1;170
Loures;Moscavide e Portela;Entire home/apt;50;3;41;2.04;3;146
Torres Vedras;Silveira;Entire home/apt;95;4;7;1.50;1;355
Loures;Moscavide e Portela;Entire home/apt;65;3;43;2.26;3;141
Loures;Moscavide e Portela;Entire home/apt;70;4;46;2.27;3;92
Lisboa;Misericrdia;Entire home/apt;80;2;94;4.62;2;104
Lourinh;Lourinh e Atalaia;Entire home/apt;60;2;45;2.22;2;361
Lisboa;Alvalade;Entire home/apt;40;1;92;4.26;1;156
Lisboa;Santa Maria Maior;Entire home/apt;68;3;95;4.50;9;24
Lisboa;Santa Maria Maior;Private room;55;2;0;;4;270
Lisboa;Misericrdia;Entire home/apt;65;2;122;5.65;3;291
Lisboa;So Vicente;Entire home/apt;79;2;55;2.53;28;356
Lisboa;Misericrdia;Entire home/apt;180;3;36;1.68;25;344
Lisboa;Areeiro;Private room;50;3;0;;29;322
Lisboa;Areeiro;Private room;50;2;13;1.46;29;319
Lisboa;Areeiro;Private room;70;2;19;0.99;29;303
Lisboa;Misericrdia;Entire home/apt;60;3;34;1.63;10;280
Lourinh;Lourinh e Atalaia;Entire home/apt;40;4;8;0.40;1;331
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;65;2;4;0.20;2;359
Mafra;Ericeira;Entire home/apt;70;1;7;0.41;1;0
Lisboa;Estrela;Entire home/apt;55;3;23;1.70;3;345
Lisboa;Misericrdia;Entire home/apt;42;3;105;4.79;1;331
Oeiras;Oeiras e S.Julio da Barra, Pao de Arcos e Caxias;Entire home/apt;110;5;8;0.39;1;50
Lisboa;Estrela;Entire home/apt;55;1;75;5.23;3;81
Lisboa;Campo de Ourique;Entire home/apt;190;2;38;1.86;1;186
Lisboa;Santa Maria Maior;Entire home/apt;59;2;132;6.06;2;332
Lisboa;Santo Antnio;Entire home/apt;200;2;25;1.32;14;274
Lisboa;Santo Antnio;Entire home/apt;150;2;9;0.43;5;243
Lisboa;Santo Antnio;Private room;50;2;61;2.86;5;306
Lisboa;Santo Antnio;Private room;60;2;52;2.48;5;282
Lisboa;Penha de Frana;Private room;32;1;13;0.74;1;0
Lisboa;Marvila;Entire home/apt;62;2;1;0.06;1;0
Oeiras;Oeiras e S.Julio da Barra, Pao de Arcos e Caxias;Entire home/apt;100;5;7;0.42;1;77
Lisboa;Santo Antnio;Entire home/apt;150;1;5;0.24;3;0
Lisboa;So Vicente;Entire home/apt;125;2;72;3.61;1;320
Lisboa;Arroios;Entire home/apt;140;1;5;0.25;2;321
Lisboa;So Vicente;Entire home/apt;49;2;69;3.17;6;334
Lisboa;Penha de Frana;Entire home/apt;26;2;43;1.99;7;188
Lisboa;Santa Maria Maior;Entire home/apt;70;2;73;3.44;1;80
Lisboa;So Vicente;Entire home/apt;58;4;50;2.32;16;23
Lisboa;Arroios;Private room;32;2;113;5.35;2;109
Lisboa;Misericrdia;Entire home/apt;60;2;19;0.94;2;300
Lisboa;Santo Antnio;Private room;45;2;64;2.99;5;303
Lisboa;Santa Maria Maior;Private room;40;2;7;0.32;2;317
Lisboa;Misericrdia;Entire home/apt;72;2;101;4.72;1;345
Lisboa;Ajuda;Private room;18;2;108;4.95;1;170
Lisboa;Olivais;Entire home/apt;59;4;25;1.23;3;179
Lisboa;Misericrdia;Entire home/apt;98;3;22;1.04;2;53
Lisboa;Alvalade;Entire home/apt;119;4;22;1.09;2;22
Cascais;Cascais e Estoril;Entire home/apt;200;3;20;1.06;1;333
Lisboa;Marvila;Entire home/apt;67;4;37;1.83;3;179
Lisboa;Santa Maria Maior;Entire home/apt;157;2;72;3.48;10;330
Cascais;Cascais e Estoril;Entire home/apt;65;1;17;0.84;1;302
Lisboa;Alvalade;Entire home/apt;150;3;2;0.10;1;179
Loures;Moscavide e Portela;Entire home/apt;70;2;3;0.16;3;56
Oeiras;Oeiras e S.Julio da Barra, Pao de Arcos e Caxias;Entire home/apt;55;2;31;1.48;6;77
Lisboa;Misericrdia;Entire home/apt;60;2;132;6.14;1;319
Lourinh;Lourinh e Atalaia;Entire home/apt;40;2;1;0.14;8;344
Mafra;Ericeira;Entire home/apt;60;2;9;0.44;1;23
Cascais;Cascais e Estoril;Entire home/apt;154;3;53;3.31;1;328
Oeiras;Oeiras e S.Julio da Barra, Pao de Arcos e Caxias;Entire home/apt;85;2;7;0.39;1;229
Mafra;Ericeira;Entire home/apt;60;7;27;1.34;1;59
Mafra;Mafra;Entire home/apt;84;1;1;0.21;29;11
Mafra;Ericeira;Entire home/apt;97;1;9;0.54;29;297
Mafra;Ericeira;Entire home/apt;183;1;1;0.07;29;0
Mafra;Santo Isidoro;Entire home/apt;114;1;0;;29;354
Mafra;Ericeira;Entire home/apt;53;1;1;0.47;29;225
Mafra;Ericeira;Entire home/apt;60;1;1;0.28;29;330
Mafra;Ericeira;Entire home/apt;74;1;1;0.14;29;357
Lisboa;Santa Maria Maior;Entire home/apt;149;2;35;1.70;7;83
Mafra;Santo Isidoro;Entire home/apt;87;1;5;0.90;29;23
Mafra;Mafra;Entire home/apt;178;1;4;0.89;29;0
Mafra;Ericeira;Entire home/apt;43;1;2;0.29;29;343
Mafra;Ericeira;Entire home/apt;73;1;0;;29;311
Mafra;Carvoeira;Entire home/apt;53;1;2;0.13;29;0
Cascais;Alcabideche;Entire home/apt;200;5;12;0.67;2;272
Lisboa;Santa Maria Maior;Entire home/apt;68;4;53;2.47;16;42
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;40;4;6;0.30;4;365
Lisboa;Misericrdia;Entire home/apt;80;3;35;1.64;5;355
Lisboa;Santa Maria Maior;Entire home/apt;150;4;76;3.63;8;242
Lisboa;Santo Antnio;Entire home/apt;150;2;7;0.32;1;303
Mafra;Santo Isidoro;Entire home/apt;75;1;1;0.06;29;58
Lisboa;Campo de Ourique;Entire home/apt;90;3;53;2.57;1;357
Lisboa;So Vicente;Entire home/apt;100;2;84;3.82;1;315
Lisboa;Santa Maria Maior;Entire home/apt;75;2;10;0.46;9;137
Lisboa;Ajuda;Shared room;25;1;6;0.28;1;0
Amadora;Mina de gua;Entire home/apt;32;3;36;1.78;1;249
Mafra;Ericeira;Entire home/apt;50;1;61;3.10;2;341
Lisboa;Arroios;Entire home/apt;65;3;119;5.54;22;13
Cascais;Cascais e Estoril;Entire home/apt;110;3;7;0.33;1;331
Cascais;Carcavelos e Parede;Entire home/apt;757;3;7;0.55;1;268
Mafra;Ericeira;Entire home/apt;53;1;2;0.13;29;0
Lisboa;Santa Maria Maior;Entire home/apt;70;2;32;1.68;1;334
Sintra;Queluz e Belas;Private room;32;2;10;0.48;2;254
Lisboa;Olivais;Entire home/apt;35;5;1;0.06;6;362
Lisboa;Misericrdia;Entire home/apt;80;1;88;4.08;12;99
Sintra;Queluz e Belas;Private room;33;2;13;0.65;2;13
Oeiras;Algs, Linda-a-Velha e Cruz Quebrada-Dafundo;Entire home/apt;65;3;24;1.19;1;111
Lisboa;Misericrdia;Entire home/apt;55;1;108;4.96;2;60
Cascais;Cascais e Estoril;Entire home/apt;40;3;6;0.30;2;364
Mafra;Ericeira;Private room;22;3;52;2.38;2;5
Lisboa;Misericrdia;Entire home/apt;80;3;33;1.53;5;357
Odivelas;Ramada e Caneas;Private room;15;2;1;0.06;1;145
Lisboa;Arroios;Entire home/apt;65;1;190;8.78;1;249
Lisboa;Avenidas Novas;Entire home/apt;65;3;36;1.78;2;171
Sintra;Algueiro-Mem Martins;Private room;25;1;151;7.39;2;254
Cascais;Alcabideche;Entire home/apt;150;3;20;0.97;4;18
Lisboa;Alcntara;Entire home/apt;52;1;1;0.05;176;350
Mafra;Santo Isidoro;Entire home/apt;182;1;9;0.43;59;365
Lisboa;Avenidas Novas;Entire home/apt;99;2;13;0.60;12;92
Lisboa;Avenidas Novas;Entire home/apt;100;1;11;0.51;12;77
Torres Vedras;S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces;Entire home/apt;105;1;0;;2;90
Lisboa;Santa Maria Maior;Entire home/apt;65;3;74;3.48;1;346
Lisboa;Santo Antnio;Entire home/apt;80;2;23;3.30;4;0
Lisboa;Santo Antnio;Entire home/apt;100;2;14;0.99;4;0
Lisboa;Penha de Frana;Entire home/apt;55;2;53;2.51;5;78
Torres Vedras;A dos Cunhados e Maceira;Entire home/apt;50;2;29;1.43;1;337
Sintra;Colares;Entire home/apt;70;2;2;0.12;4;275
Lisboa;Estrela;Entire home/apt;65;4;24;1.25;4;189
Loures;Loures;Entire home/apt;50;5;0;;6;362
Mafra;Santo Isidoro;Entire home/apt;60;2;4;0.83;2;364
Lisboa;Misericrdia;Entire home/apt;76;1;115;5.32;12;55
Torres Vedras;A dos Cunhados e Maceira;Private room;28;7;2;0.13;2;241
Lisboa;Penha de Frana;Entire home/apt;70;3;62;2.93;1;0
Lisboa;Estrela;Entire home/apt;63;2;28;1.38;67;344
Lisboa;Santa Maria Maior;Entire home/apt;78;2;22;1.02;9;339
Lisboa;Alcntara;Entire home/apt;65;2;94;4.50;3;355
Lisboa;Avenidas Novas;Private room;22;5;8;0.45;4;361
Mafra;Ericeira;Shared room;15;2;0;;17;0
Lisboa;Santo Antnio;Entire home/apt;100;2;38;2.61;4;0
Lisboa;Misericrdia;Private room;30;2;33;1.55;1;332
Lisboa;Santa Maria Maior;Entire home/apt;130;3;15;0.74;5;356
Lisboa;Santa Maria Maior;Private room;22;2;0;;2;0
Lisboa;Parque das Naes;Entire home/apt;92;7;10;0.50;1;180
Lisboa;Arroios;Entire home/apt;68;3;75;3.47;6;365
Lisboa;Belm;Entire home/apt;64;2;79;4.19;5;363
Cascais;Cascais e Estoril;Entire home/apt;79;2;84;4.46;5;333
Amadora;Encosta do Sol;Entire home/apt;62;3;13;0.60;1;365
Lisboa;Arroios;Hotel room;60;1;12;0.57;13;98
Lisboa;Arroios;Entire home/apt;49;2;98;4.62;2;266
Lisboa;Misericrdia;Entire home/apt;55;4;3;0.18;1;156
Lisboa;Santo Antnio;Entire home/apt;60;4;53;2.51;1;296
Lourinh;Lourinh e Atalaia;Entire home/apt;125;7;4;0.26;36;77
Lourinh;Lourinh e Atalaia;Entire home/apt;65;3;4;0.26;2;364
Cascais;Cascais e Estoril;Entire home/apt;150;31;26;1.29;6;178
Lisboa;Arroios;Private room;40;1;121;6.37;2;253
Lisboa;Estrela;Entire home/apt;35;2;33;1.55;1;32
Lisboa;So Vicente;Private room;190;1;2;0.10;5;286
Cascais;Carcavelos e Parede;Entire home/apt;50;4;0;;1;0
Cascais;Cascais e Estoril;Private room;50;1;5;0.28;19;267
Cascais;Cascais e Estoril;Entire home/apt;61;1;0;;40;332
Cascais;Cascais e Estoril;Private room;35;1;9;0.46;19;268
Lisboa;So Vicente;Entire home/apt;68;4;48;2.25;16;48
Cascais;Cascais e Estoril;Private room;30;1;13;0.64;19;269
Cascais;Cascais e Estoril;Private room;40;1;8;0.42;19;363
Mafra;Ericeira;Entire home/apt;100;3;0;;1;0
Lisboa;Belm;Entire home/apt;49;3;81;3.87;3;147
Lisboa;Campolide;Entire home/apt;115;1;19;0.91;26;316
Lisboa;Alcntara;Entire home/apt;85;1;4;0.42;5;25
Mafra;Carvoeira;Entire home/apt;90;1;5;0.29;29;354
Lisboa;Misericrdia;Entire home/apt;95;3;29;1.38;66;359
Lisboa;Misericrdia;Entire home/apt;95;3;27;1.29;66;362
Lisboa;Estrela;Entire home/apt;10;1;8;0.49;11;0
Lisboa;So Vicente;Entire home/apt;50;1;32;1.47;2;333
Lisboa;So Domingos de Benfica;Entire home/apt;90;3;38;1.87;1;64
Lisboa;Misericrdia;Entire home/apt;100;2;28;1.52;2;314
Lisboa;Arroios;Entire home/apt;80;3;97;4.66;1;149
Lisboa;Estrela;Entire home/apt;30;3;98;4.59;1;130
Cascais;Cascais e Estoril;Private room;35;1;10;0.52;19;268
Lisboa;Estrela;Entire home/apt;55;1;137;6.47;1;308
Cascais;Cascais e Estoril;Shared room;19;1;0;;6;90
Cascais;Cascais e Estoril;Shared room;19;1;0;;6;90
Lisboa;Penha de Frana;Entire home/apt;68;2;58;2.72;1;335
Cascais;Cascais e Estoril;Shared room;19;1;2;0.12;6;90
Lisboa;Estrela;Entire home/apt;80;3;18;0.96;7;289
Lisboa;Estrela;Entire home/apt;53;3;87;4.09;1;47
Lisboa;So Vicente;Entire home/apt;49;4;47;2.20;16;18
Lisboa;Parque das Naes;Entire home/apt;245;1;5;0.26;26;349
Lisboa;So Domingos de Benfica;Entire home/apt;120;15;3;0.16;26;356
Lisboa;Parque das Naes;Entire home/apt;249;1;15;0.74;26;359
Lisboa;So Vicente;Entire home/apt;55;2;106;5.02;1;136
Lisboa;Parque das Naes;Entire home/apt;81;2;0;;48;330
Cascais;Carcavelos e Parede;Hotel room;80;2;7;0.35;5;209
Mafra;Encarnao;Entire home/apt;200;5;4;0.75;2;240
Mafra;Encarnao;Entire home/apt;120;3;0;;1;1
Cascais;Cascais e Estoril;Shared room;19;1;0;;6;90
Cascais;Cascais e Estoril;Private room;76;1;5;0.30;6;90
Lisboa;Estrela;Entire home/apt;55;3;31;1.53;1;268
Lisboa;Santa Maria Maior;Entire home/apt;95;3;72;3.44;22;152
Lisboa;Penha de Frana;Hotel room;55;2;22;1.09;35;193
Mafra;Ericeira;Entire home/apt;69;3;34;1.71;1;93
Lisboa;So Vicente;Private room;35;3;84;3.94;4;116
Lisboa;So Vicente;Private room;40;3;76;3.56;4;124
Azambuja;Manique do Intendente, V.N.de S.Pedro e Maussa;Private room;30;1;0;;3;179
Cascais;Carcavelos e Parede;Hotel room;35;2;1;0.14;5;207
Lisboa;Arroios;Private room;30;4;18;0.87;38;0
Lisboa;Arroios;Private room;35;4;27;1.31;38;75
Lisboa;Arroios;Private room;35;4;23;1.08;38;94
Lisboa;Arroios;Private room;37;4;22;1.06;38;94
Lisboa;Arroios;Private room;25;4;17;0.81;38;55
Lisboa;Campo de Ourique;Entire home/apt;60;2;38;1.86;1;25
Lisboa;Arroios;Private room;55;2;38;1.81;3;104
Lisboa;Estrela;Entire home/apt;75;3;22;1.17;1;0
Lisboa;Misericrdia;Entire home/apt;117;2;11;0.52;315;0
Torres Vedras;A dos Cunhados e Maceira;Entire home/apt;182;1;3;0.16;59;365
Lisboa;Santo Antnio;Entire home/apt;300;3;11;0.78;10;319
Lisboa;Misericrdia;Entire home/apt;135;3;88;4.56;3;327
Lisboa;Misericrdia;Entire home/apt;78;3;56;2.73;5;357
Lisboa;Santa Maria Maior;Entire home/apt;45;1;22;1.23;14;172
Lisboa;So Vicente;Entire home/apt;85;5;10;0.50;4;271
Cascais;Cascais e Estoril;Entire home/apt;150;4;0;;1;365
Lisboa;Arroios;Private room;150;1;1;0.14;5;80
Lisboa;Estrela;Entire home/apt;80;3;44;2.34;3;68
Lisboa;Estrela;Entire home/apt;35;3;122;5.81;2;290
Lisboa;Alcntara;Entire home/apt;54;2;57;3.06;1;81
Lisboa;Areeiro;Entire home/apt;120;3;31;1.57;1;326
Lisboa;Misericrdia;Entire home/apt;150;2;16;0.81;1;50
Lisboa;Lumiar;Entire home/apt;85;2;22;1.05;1;331
Lisboa;Penha de Frana;Private room;100;1;3;0.15;10;46
Lisboa;Misericrdia;Private room;46;2;10;0.49;8;219
Lisboa;Arroios;Entire home/apt;60;5;2;0.10;3;344
Mafra;Ericeira;Entire home/apt;130;3;2;0.15;2;1
Lisboa;Santa Maria Maior;Entire home/apt;170;3;92;4.31;25;296
Lisboa;Arroios;Entire home/apt;56;3;70;3.28;2;365
Lisboa;Arroios;Entire home/apt;56;3;60;2.89;2;345
Lisboa;Santa Maria Maior;Private room;60;1;28;1.76;12;3
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;300;2;10;0.61;4;153
Lisboa;Misericrdia;Entire home/apt;100;2;19;0.94;23;263
Cascais;Cascais e Estoril;Hotel room;84;4;16;0.83;38;355
Lisboa;Misericrdia;Entire home/apt;500;2;1;0.05;11;274
Lisboa;Olivais;Private room;49;1;69;3.58;1;0
Lisboa;Estrela;Entire home/apt;55;2;60;2.84;1;341
Lisboa;Estrela;Entire home/apt;50;3;72;3.40;2;320
Cascais;Cascais e Estoril;Entire home/apt;180;3;20;0.98;22;365
Lisboa;Santo Antnio;Entire home/apt;100;2;17;0.80;4;320
Cascais;Carcavelos e Parede;Entire home/apt;95;2;5;0.31;5;172
Lisboa;Estrela;Entire home/apt;57;1;5;0.24;176;0
Mafra;Ericeira;Entire home/apt;110;7;6;0.32;1;316
Lisboa;Misericrdia;Entire home/apt;500;2;0;;11;12
Lisboa;Alcntara;Entire home/apt;80;2;34;1.66;1;339
Lisboa;So Vicente;Entire home/apt;48;3;42;2.08;1;223
Sintra;Colares;Entire home/apt;70;2;6;0.35;18;365
Lisboa;Arroios;Entire home/apt;120;3;3;0.16;1;1
Lisboa;Misericrdia;Entire home/apt;42;1;8;0.39;176;341
Cascais;Cascais e Estoril;Entire home/apt;110;4;25;1.21;3;188
Lisboa;Misericrdia;Entire home/apt;100;1;33;1.59;2;286
Lisboa;Misericrdia;Entire home/apt;42;1;20;0.94;176;338
Odivelas;Pontinha e Fames;Private room;24;2;6;0.30;6;269
Lisboa;Santa Maria Maior;Entire home/apt;500;300;0;;11;0
Lisboa;Misericrdia;Entire home/apt;49;2;50;2.34;3;356
Lisboa;Penha de Frana;Private room;60;2;2;0.10;35;200
Lisboa;Penha de Frana;Hotel room;50;2;1;0.25;35;198
Lisboa;Arroios;Entire home/apt;90;3;3;0.43;3;278
Cascais;Cascais e Estoril;Entire home/apt;200;5;3;0.22;1;274
Lisboa;Misericrdia;Entire home/apt;66;4;2;0.53;3;312
Lisboa;Estrela;Entire home/apt;66;4;2;0.48;3;340
;;;;;;;;
So Joo das Lampas e Terrugem;38.86985;250;3;23;;1;186;
Lisboa;Campolide;Entire home/apt;65;2;0;;1;240
Lisboa;Santo Antnio;Entire home/apt;140;2;4;0.26;1;316
Lisboa;Ajuda;Private room;55;1;30;1.57;2;0
Lisboa;Estrela;Entire home/apt;39;2;92;4.39;1;164
Lisboa;Santa Maria Maior;Entire home/apt;125;4;76;3.95;11;250
Loures;Sacavm e Prior Velho;Entire home/apt;61;1;21;1.03;1;0
Mafra;Carvoeira;Entire home/apt;85;2;6;0.37;1;364
Lisboa;Santa Maria Maior;Entire home/apt;75;1;109;5.27;4;36
Lisboa;Santa Maria Maior;Entire home/apt;120;2;72;3.56;2;142
Sintra;So Joo das Lampas e Terrugem;Entire home/apt;39;2;19;1.09;1;362
Lisboa;Arroios;Entire home/apt;120;3;4;0.24;2;92
Lisboa;Arroios;Entire home/apt;110;1;14;0.72;4;336
Lisboa;So Vicente;Entire home/apt;59;3;65;3.08;6;353
Mafra;Ericeira;Entire home/apt;50;2;37;1.74;1;214
Lisboa;Santa Maria Maior;Entire home/apt;55;1;109;5.11;16;317
Lourinh;Lourinh e Atalaia;Entire home/apt;85;2;8;0.39;2;180
Torres Vedras;A dos Cunhados e Maceira;Entire home/apt;96;1;0;;59;363
Lisboa;Avenidas Novas;Entire home/apt;300;2;91;4.40;1;332
Lisboa;Santa Maria Maior;Entire home/apt;90;3;61;3.02;5;159
Lisboa;Arroios;Entire home/apt;119;1;0;;6;349
Lisboa;Arroios;Entire home/apt;51;2;43;2.26;3;108
Lisboa;Santa Maria Maior;Entire home/apt;85;3;6;0.29;1;365
Lisboa;Campolide;Entire home/apt;99;2;2;0.12;6;1
Lisboa;Parque das Naes;Entire home/apt;100;2;15;0.94;1;353
Lisboa;Arroios;Entire home/apt;119;1;2;0.29;6;352
Lisboa;Penha de Frana;Hotel room;51;2;2;0.11;35;200
Lisboa;Santa Maria Maior;Entire home/apt;98;3;76;3.64;1;349
Cascais;Cascais e Estoril;Entire home/apt;150;1;2;0.09;1;0
Lisboa;Arroios;Entire home/apt;40;3;68;3.23;11;147
Lisboa;Santa Maria Maior;Entire home/apt;60;3;39;1.82;5;174
Lisboa;Areeiro;Entire home/apt;60;5;9;0.55;16;241
Lisboa;Areeiro;Entire home/apt;55;5;2;0.48;16;354
Lisboa;Estrela;Private room;75;1;0;;7;322
Mafra;Ericeira;Entire home/apt;217;3;11;0.65;3;322
Oeiras;Algs, Linda-a-Velha e Cruz Quebrada-Dafundo;Entire home/apt;199;3;31;1.50;66;328
Alenquer;Abrigada e Cabanas de Torres;Entire home/apt;100;3;3;0.93;1;5
Lisboa;Arroios;Entire home/apt;75;4;45;2.69;2;174
Odivelas;Ramada e Caneas;Entire home/apt;59;4;7;0.37;4;354
Lisboa;Misericrdia;Entire home/apt;85;3;70;3.40;1;252
Lisboa;Misericrdia;Entire home/apt;130;2;39;1.94;1;156
Lisboa;Misericrdia;Entire home/apt;500;2;1;0.05;11;326
Lisboa;Misericrdia;Entire home/apt;130;1;0;;1;311
Lisboa;Misericrdia;Entire home/apt;103;2;4;0.20;30;338
Lisboa;Estrela;Entire home/apt;40;2;14;0.68;8;365
Lisboa;So Vicente;Entire home/apt;120;2;16;0.79;1;0
Lisboa;Misericrdia;Entire home/apt;500;2;2;0.13;11;318
Lisboa;Penha de Frana;Private room;52;1;14;0.66;10;49
Lisboa;Campo de Ourique;Entire home/apt;70;3;10;0.51;1;153
Lisboa;Penha de Frana;Private room;15;1;29;1.38;10;109
Lisboa;Penha de Frana;Entire home/apt;80;3;45;2.23;2;160
Odivelas;Pontinha e Fames;Entire home/apt;75;3;1;0.05;1;171
Lisboa;Misericrdia;Entire home/apt;500;2;0;;11;233
Lisboa;Santa Maria Maior;Entire home/apt;46;3;99;4.87;2;288
Lisboa;Penha de Frana;Entire home/apt;70;2;52;2.57;1;240
Cascais;Carcavelos e Parede;Private room;25;2;81;3.86;2;228
Lisboa;Santa Maria Maior;Entire home/apt;100;1;84;4.14;4;240
Lisboa;Misericrdia;Entire home/apt;60;2;69;3.48;10;327
Lisboa;So Vicente;Entire home/apt;37;2;79;3.88;4;314
Lisboa;So Vicente;Entire home/apt;70;2;69;3.54;8;153
Lisboa;Areeiro;Entire home/apt;300;2;4;0.26;29;250
Lisboa;Alcntara;Entire home/apt;80;2;38;1.88;1;0
Lisboa;Santa Maria Maior;Entire home/apt;70;2;82;4.03;2;251
Lisboa;Santa Maria Maior;Entire home/apt;50;3;61;3.00;1;365
Sintra;Colares;Entire home/apt;90;2;16;0.85;18;365
Lisboa;Belm;Entire home/apt;75;2;2;0.10;18;0
Lisboa;So Vicente;Entire home/apt;60;2;32;1.57;7;347
Lisboa;Arroios;Private room;62;2;4;0.20;11;347
Lisboa;Areeiro;Private room;50;4;1;0.05;16;299
Lisboa;Estrela;Entire home/apt;55;2;57;2.73;4;358
Lisboa;Santo Antnio;Entire home/apt;58;2;31;1.57;315;299
Lisboa;Olivais;Entire home/apt;52;2;2;0.11;315;0
